Year,Manufacturer,count
2000,Cray/HPE,4
2000,HPE,2
2000,Hitachi,5
2000,IBM,7
2000,Intel,2
2005,CaliforniaDigitalCorporation,1
2005,Cray/HPE,3
2005,DELLEMC,1
2005,HPE,2
2005,IBM,11
2005,NEC,2
2010,Atos,1
2010,Cray/HPE,6
2010,HPE,1
2010,IBM,6
2010,NEC/HPE,1
2010,NUDT,2
2010,Sugon,2
2010,Sun,1
2015,Cray/HPE,8
2015,DELLEMC,2
2015,Fujitsu,2
2015,IBM,6
2015,NUDT,2
2020,Atos,1
2020,Cray/HPE,1
2020,DELLEMC,4
2020,Fujitsu,2
2020,HPE,1
2020,IBM,3
2020,IBM/NVIDIA/Mellanox,2
2020,NRCPC,2
2020,NUDT,2
2020,Nvidia,2
